Day,lotType,lotSpaces,lotVacancy,lotOccupied,percentCapacity
54,lot2_general,1219,962,257.0,0.21082854799015588
54,lot2_premium,324,286,38.0,0.11728395061728394
54,lot3,1192,1192,0.0,0.0
54,lot4_general,1430,692,738.0,0.5160839160839161
54,lot4_premium,352,32,320.0,0.9090909090909091
54,lot5,2200,2200,0.0,0.0
54,lot6,-1,-1,-1.0,-1.0
55,lot2_general,1219,933,286.0,0.2346185397867104
55,lot2_premium,324,295,29.0,0.08950617283950617
55,lot3,1192,1192,0.0,0.0
55,lot4_general,1430,662,768.0,0.5370629370629371
55,lot4_premium,352,124,228.0,0.6477272727272727
55,lot5,2200,2200,0.0,0.0
55,lot6,-1,-1,-1.0,-1.0
56,lot2_general,1219,917,302.0,0.24774405250205087
56,lot2_premium,324,303,21.0,0.06481481481481481
56,lot3,1192,1192,0.0,0.0
56,lot4_general,1430,611,819.0,0.5727272727272728
56,lot4_premium,352,117,235.0,0.6676136363636364
56,lot5,2200,2200,0.0,0.0
56,lot6,-1,-1,-1.0,-1.0
57,lot2_general,1219,848,371.0,0.30434782608695654
57,lot2_premium,324,261,63.0,0.19444444444444445
57,lot3,1192,1189,3.0,0.0025167785234899327
57,lot4_general,1430,563,867.0,0.6062937062937063
57,lot4_premium,352,163,189.0,0.5369318181818182
57,lot5,2200,2182,18.0,0.008181818181818182
57,lot6,-1,-1,-1.0,-1.0
58,lot2_general,1219,907,312.0,0.2559474979491386
58,lot2_premium,324,298,26.0,0.08024691358024691
58,lot3,1192,1192,0.0,0.0
58,lot4_general,1430,714,716.0,0.5006993006993007
58,lot4_premium,352,165,187.0,0.53125
58,lot5,2200,2200,0.0,0.0
58,lot6,-1,-1,-1.0,-1.0
59,lot2_general,1219,976,243.0,0.19934372436423298
59,lot2_premium,324,301,23.0,0.07098765432098765
59,lot3,1192,1192,0.0,0.0
59,lot4_general,1430,721,709.0,0.4958041958041958
59,lot4_premium,352,164,188.0,0.5340909090909091
59,lot5,2200,2200,0.0,0.0
59,lot6,-1,-1,-1.0,-1.0
60,lot2_general,1219,940,279.0,0.22887612797374898
60,lot2_premium,324,303,21.0,0.06481481481481481
60,lot3,1192,1192,0.0,0.0
60,lot4_general,1430,1252,178.0,0.12447552447552447
60,lot4_premium,352,174,178.0,0.5056818181818182
60,lot5,2200,2200,0.0,0.0
60,lot6,-1,-1,-1.0,-1.0
61,lot2_general,1219,976,243.0,0.19934372436423298
61,lot2_premium,324,306,18.0,0.05555555555555555
61,lot3,1192,1192,0.0,0.0
61,lot4_general,1430,746,684.0,0.4783216783216783
61,lot4_premium,352,180,172.0,0.48863636363636365
61,lot5,2200,2200,0.0,0.0
61,lot6,-1,-1,-1.0,-1.0
62,lot2_general,1219,893,326.0,0.2674323215750615
62,lot2_premium,324,302,22.0,0.06790123456790123
62,lot3,1192,1192,0.0,0.0
62,lot4_general,1430,657,773.0,0.5405594405594406
62,lot4_premium,352,151,201.0,0.5710227272727273
62,lot5,2200,2200,0.0,0.0
62,lot6,-1,-1,-1.0,-1.0
63,lot2_general,1219,879,340.0,0.27891714520098443
63,lot2_premium,324,303,21.0,0.06481481481481481
63,lot3,1192,1192,0.0,0.0
63,lot4_general,1430,641,789.0,0.5517482517482517
63,lot4_premium,352,153,199.0,0.5653409090909091
63,lot5,2200,2200,0.0,0.0
63,lot6,-1,-1,-1.0,-1.0
64,lot2_general,1219,927,292.0,0.23954060705496308
64,lot2_premium,324,307,17.0,0.05246913580246913
64,lot3,1192,1192,0.0,0.0
64,lot4_general,1430,819,611.0,0.42727272727272725
64,lot4_premium,352,199,153.0,0.4346590909090909
64,lot5,2200,2200,0.0,0.0
64,lot6,-1,-1,-1.0,-1.0
65,lot2_general,1219,1036,183.0,0.1501230516817063
