Date,Day,Lot,% Capacity,Occupied,Spaces
2021-06-05,Saturday,LOT 4 Premium,72.72727272727273,256.0,352
2021-06-05,Saturday,LOT 5,30.45454545454545,670.0,2200
2021-06-05,Saturday,LOT 5 Value,0.0,0.0,0
2021-06-05,Saturday,LOT 6,-100.0,-1.0,-1
2021-06-06,Sunday,LOT 2 General,48.31829368334701,589.0,1219
2021-06-06,Sunday,LOT 2 Premium,25.30864197530864,82.0,324
2021-06-06,Sunday,LOT 2 Value,0.0,0.0,0
2021-06-06,Sunday,LOT 3,44.29530201342282,528.0,1192
2021-06-06,Sunday,LOT 4 General,39.16083916083916,560.0,1430
2021-06-06,Sunday,LOT 4 Premium,74.7159090909091,263.0,352
2021-06-06,Sunday,LOT 5,23.31818181818181,513.0,2200
2021-06-06,Sunday,LOT 5 Value,0.0,0.0,0
2021-06-06,Sunday,LOT 6,-100.0,-1.0,-1
2021-06-07,Monday,LOT 2 General,47.82608695652174,583.0,1219
2021-06-07,Monday,LOT 2 Premium,28.08641975308642,91.0,324
2021-06-07,Monday,LOT 2 Value,0.0,0.0,0
2021-06-07,Monday,LOT 3,67.03020134228188,799.0,1192
2021-06-07,Monday,LOT 4 General,50.62937062937063,724.0,1430
2021-06-07,Monday,LOT 4 Premium,81.81818181818183,288.0,352
2021-06-07,Monday,LOT 5,26.0,572.0,2200
2021-06-07,Monday,LOT 5 Value,0.0,0.0,0
2021-06-07,Monday,LOT 6,-100.0,-1.0,-1
2021-06-08,Tuesday,LOT 2 General,0.0,0.0,1219
2021-06-08,Tuesday,LOT 2 Premium,0.0,0.0,324
2021-06-08,Tuesday,LOT 2 Value,0.0,0.0,0
2021-06-08,Tuesday,LOT 3,0.0,0.0,1192
2021-06-08,Tuesday,LOT 4 General,0.0,0.0,1430
2021-06-08,Tuesday,LOT 4 Premium,0.0,0.0,352
2021-06-08,Tuesday,LOT 5,0.0,0.0,2200
2021-06-08,Tuesday,LOT 5 Value,0.0,0.0,0
2021-06-08,Tuesday,LOT 6,-100.0,-1.0,-1
2021-06-09,Wednesday,LOT 2 General,52.99425758818705,646.0,1219
2021-06-09,Wednesday,LOT 2 Premium,23.456790123456788,76.0,324
2021-06-09,Wednesday,LOT 2 Value,0.0,0.0,0
2021-06-09,Wednesday,LOT 3,44.7986577181208,534.0,1192
2021-06-09,Wednesday,LOT 4 General,55.73426573426573,797.0,1430
2021-06-09,Wednesday,LOT 4 Premium,75.0,264.0,352
2021-06-09,Wednesday,LOT 5,30.59090909090909,673.0,2200
2021-06-09,Wednesday,LOT 5 Value,0.0,0.0,0
2021-06-09,Wednesday,LOT 6,-100.0,-1.0,-1
2021-06-10,Thursday,LOT 2 General,56.193601312551266,685.0,1219
2021-06-10,Thursday,LOT 2 Premium,25.61728395061728,83.0,324
2021-06-10,Thursday,LOT 2 Value,0.0,0.0,0
2021-06-10,Thursday,LOT 3,49.49664429530201,590.0,1192
2021-06-10,Thursday,LOT 4 General,53.14685314685315,760.0,1430
2021-06-10,Thursday,LOT 4 Premium,72.72727272727273,256.0,352
2021-06-10,Thursday,LOT 5,30.09090909090909,662.0,2200
2021-06-10,Thursday,LOT 5 Value,0.0,0.0,0
2021-06-10,Thursday,LOT 6,-100.0,-1.0,-1
2021-06-11,Friday,LOT 2 General,0.0,0.0,1219
2021-06-11,Friday,LOT 2 Premium,0.0,0.0,324
2021-06-11,Friday,LOT 2 Value,0.0,0.0,0
2021-06-11,Friday,LOT 3,0.0,0.0,1192
2021-06-11,Friday,LOT 4 General,0.0,0.0,1430
2021-06-11,Friday,LOT 4 Premium,0.0,0.0,352
2021-06-11,Friday,LOT 5,0.0,0.0,2200
2021-06-11,Friday,LOT 5 Value,0.0,0.0,0
2021-06-11,Friday,LOT 6,-100.0,-1.0,-1
2021-06-12,Saturday,LOT 2 General,57.91632485643971,706.0,1219
2021-06-12,Saturday,LOT 2 Premium,27.160493827160494,88.0,324
2021-06-12,Saturday,LOT 2 Value,0.0,0.0,0
2021-06-12,Saturday,LOT 3,62.08053691275168,740.0,1192
2021-06-12,Saturday,LOT 4 General,57.34265734265735,820.0,1430
2021-06-12,Saturday,LOT 4 Premium,81.81818181818183,288.0,352
2021-06-12,Saturday,LOT 5,37.36363636363636,822.0,2200
2021-06-12,Saturday,LOT 5 Value,0.0,0.0,0
2021-06-12,Saturday,LOT 6,-100.0,-1.0,-1
2021-06-13,Sunday,LOT 2 General,58.326497128794095,711.0,1219
2021-06-13,Sunday,LOT 2 Premium,20.061728395061728,65.0,324
2021-06-13,Sunday,LOT 2 Value,0.0,0.0,0
2021-06-13,Sunday,LOT 3,51.84563758389261,618.0,1192
2021-06-13,Sunday,LOT 4 General,44.89510489510489,642.0,1430
2021-06-13,Sunday,LOT 4 Premium,64.20454545454545,226.0,352
2021-06-13,Sunday,LOT 5,37.81818181818182,832.0,2200
2021-06-13,Sunday,LOT 5 Value,0.0,0.0,0
2021-06-13,Sunday,LOT 6,-100.0,-1.0,-1
2021-06-14,Monday,LOT 2 General,0.0,0.0,1219
2021-06-14,Monday,LOT 2 Premium,0.0,0.0,324
2021-06-14,Monday,LOT 2 Value,0.0,0.0,0
2021-06-14,Monday,LOT 3,0.0,0.0,1192
2021-06-14,Monday,LOT 4 General,0.0,0.0,1430
2021-06-14,Monday,LOT 4 Premium,0.0,0.0,352
2021-06-14,Monday,LOT 5,0.0,0.0,2200
2021-06-14,Monday,LOT 5 Value,0.0,0.0,0
2021-06-14,Monday,LOT 6,-100.0,-1.0,-1
2021-06-15,Tuesday,LOT 2 General,52.83018867924528,644.0,1219
2021-06-15,Tuesday,LOT 2 Premium,25.92592592592592,84.0,324
2021-06-15,Tuesday,LOT 2 Value,0.0,0.0,0
2021-06-15,Tuesday,LOT 3,44.04362416107382,525.0,1192
2021-06-15,Tuesday,LOT 4 General,59.510489510489506,851.0,1430
2021-06-15,Tuesday,LOT 4 Premium,75.56818181818183,266.0,352
2021-06-15,Tuesday,LOT 5,0.0,0.0,2200
2021-06-15,Tuesday,LOT 5 Value,0.0,0.0,0
2021-06-15,Tuesday,LOT 6,-100.0,-1.0,-1
2021-06-16,Wednesday,LOT 2 General,0.0,0.0,1219
2021-06-16,Wednesday,LOT 2 Premium,0.0,0.0,324
2021-06-16,Wednesday,LOT 2 Value,0.0,0.0,0
2021-06-16,Wednesday,LOT 3,0.0,0.0,1192
2021-06-16,Wednesday,LOT 4 General,0.0,0.0,1430
2021-06-16,Wednesday,LOT 4 Premium,0.0,0.0,352
2021-06-16,Wednesday,LOT 5,0.0,0.0,2200
2021-06-16,Wednesday,LOT 5 Value,0.0,0.0,0
2021-06-16,Wednesday,LOT 6,-100.0,-1.0,-1
2021-06-17,Thursday,LOT 2 General,73.01066447908121,890.0,1219
2021-06-17,Thursday,LOT 2 Premium,29.01234567901234,94.0,324
2021-06-17,Thursday,LOT 2 Value,0.0,0.0,0
2021-06-17,Thursday,LOT 3,66.2751677852349,790.0,1192
2021-06-17,Thursday,LOT 4 General,58.04195804195804,830.0,1430
2021-06-17,Thursday,LOT 4 Premium,82.67045454545455,291.0,352
2021-06-17,Thursday,LOT 5,41.81818181818181,920.0,2200
2021-06-17,Thursday,LOT 5 Value,0.0,0.0,0
2021-06-17,Thursday,LOT 6,-100.0,-1.0,-1
2021-06-18,Friday,LOT 2 General,74.24118129614438,905.0,1219
2021-06-18,Friday,LOT 2 Premium,27.46913580246913,89.0,324
2021-06-18,Friday,LOT 2 Value,0.0,0.0,0
2021-06-18,Friday,LOT 3,68.79194630872483,820.0,1192
2021-06-18,Friday,LOT 4 General,60.76923076923077,869.0,1430
2021-06-18,Friday,LOT 4 Premium,81.81818181818183,288.0,352
2021-06-18,Friday,LOT 5,42.5,935.0,2200
2021-06-18,Friday,LOT 5 Value,0.0,0.0,0
2021-06-18,Friday,LOT 6,-100.0,-1.0,-1
2021-06-19,Saturday,LOT 2 General,70.38556193601313,858.0,1219
2021-06-19,Saturday,LOT 2 Premium,28.39506172839506,92.0,324
2021-06-19,Saturday,LOT 2 Value,0.0,0.0,0
2021-06-19,Saturday,LOT 3,76.4261744966443,911.0,1192
2021-06-19,Saturday,LOT 4 General,50.349650349650354,720.0,1430
2021-06-19,Saturday,LOT 4 Premium,76.13636363636364,268.0,352
2021-06-19,Saturday,LOT 5,45.909090909090914,1010.0,2200
2021-06-19,Saturday,LOT 5 Value,0.0,0.0,0
2021-06-19,Saturday,LOT 6,-100.0,-1.0,-1
2021-06-20,Sunday,LOT 2 General,43.56029532403609,531.0,1219
2021-06-20,Sunday,LOT 2 Premium,36.419753086419746,118.0,324
2021-06-20,Sunday,LOT 2 Value,0.0,0.0,0
2021-06-20,Sunday,LOT 3,53.85906040268457,642.0,1192
2021-06-20,Sunday,LOT 4 General,42.02797202797202,601.0,1430
2021-06-20,Sunday,LOT 4 Premium,77.55681818181817,273.0,352
2021-06-20,Sunday,LOT 5,39.590909090909086,871.0,2200
2021-06-20,Sunday,LOT 5 Value,0.0,0.0,0
2021-06-20,Sunday,LOT 6,-100.0,-1.0,-1
2021-06-21,Monday,LOT 2 General,62.83839212469237,766.0,1219
2021-06-21,Monday,LOT 2 Premium,24.38271604938271,79.0,324
2021-06-21,Monday,LOT 2 Value,0.0,0.0,0
2021-06-21,Monday,LOT 3,70.80536912751678,844.0,1192
2021-06-21,Monday,LOT 4 General,60.0,858.0,1430
2021-06-21,Monday,LOT 4 Premium,86.07954545454545,303.0,352
2021-06-21,Monday,LOT 5,38.09090909090909,838.0,2200
2021-06-21,Monday,LOT 5 Value,0.0,0.0,0
2021-06-21,Monday,LOT 6,-100.0,-1.0,-1
2021-06-22,Tuesday,LOT 2 General,59.88515176374077,730.0,1219
2021-06-22,Tuesday,LOT 2 Premium,23.456790123456788,76.0,324
2021-06-22,Tuesday,LOT 2 Value,0.0,0.0,0
2021-06-22,Tuesday,LOT 3,60.486577181208055,721.0,1192
2021-06-22,Tuesday,LOT 4 General,55.52447552447553,794.0,1430
2021-06-22,Tuesday,LOT 4 Premium,81.81818181818183,288.0,352
2021-06-22,Tuesday,LOT 5,36.95454545454545,813.0,2200
