Year,Month,Airline,Passengers
2021,September,China Airlines,216
2021,September,Delta Air Lines,51490
2021,September,Frontier Airlines,51679
2021,September,Hawaiian Airlines,8125
2021,September,JetBlue,4583
2021,September,Southwest Airlines,167139
2021,September,United Airlines,35329
2021,September,Volaris,9868
2021,September,All Others,0
2021,October,Alaska Airlines,44539
2021,October,American Airlines,95429
2021,October,Avianca,2493
2021,October,China Airlines,236
2021,October,Delta Air Lines,58910
2021,October,Frontier Airlines,53822
2021,October,Hawaiian Airlines,8687
2021,October,JetBlue,6062
2021,October,Southwest Airlines,184118
2021,October,United Airlines,30068
2021,October,Volaris,10363
2021,October,All Others,0
2021,November,aha!,317
2021,November,Alaska Airlines,41870
2021,November,American Airlines,88360
2021,November,Avianca,2715
2021,November,China Airlines,244
2021,November,Delta Air Lines,52053
2021,November,Frontier Airlines,44959
2021,November,Hawaiian Airlines,8598
2021,November,JetBlue,7912
2021,November,Southwest Airlines,185100
2021,November,United Airlines,32062
2021,November,Volaris,11096
2021,November,All Others,533
2021,December,aha!,559
2021,December,Alaska Airlines,39016
2021,December,American Airlines,78393
2021,December,Avianca,4368
2021,December,China Airlines,277
2021,December,Delta Air Lines,50192
2021,December,Frontier Airlines,53785
2021,December,Hawaiian Airlines,9322
2021,December,JetBlue,9201
2021,December,Southwest Airlines,176522
2021,December,United Airlines,33184
2021,December,Volaris,12179
2021,December,All Others,153
2022,January,aha!,244
2022,January,Alaska Airlines,28675
2022,January,American Airlines,57521
2022,January,Avianca,4769
2022,January,China Airlines,405
2022,January,Delta Air Lines,44096
2022,January,Frontier Airlines,26776
2022,January,Hawaiian Airlines,7287
2022,January,JetBlue,4542
2022,January,Southwest Airlines,132478
2022,January,United Airlines,21632
2022,January,Volaris,10464
2022,January,All Others,847
2022,February,aha!,392
2022,February,Alaska Airlines,35285
2022,February,American Airlines,51881
2022,February,Avianca,3155
2022,February,China Airlines,516
2022,February,Delta Air Lines,44871
2022,February,Frontier Airlines,24632
2022,February,Hawaiian Airlines,7392
2022,February,JetBlue,4092
2022,February,Southwest Airlines,152141
2022,February,United Airlines,26312
2022,February,Volaris,7211
2022,February,All Others,0
2022,March,aha!,737
2022,March,Alaska Airlines,42952
2022,March,American Airlines,65896
2022,March,Avianca,3894
2022,March,China Airlines,884
2022,March,Delta Air Lines,63253
2022,March,Frontier Airlines,35025
2022,March,Hawaiian Airlines,9656
2022,March,JetBlue,8089
2022,March,Southwest Airlines,180422
2022,March,United Airlines,33501
2022,March,Volaris,9714
2022,March,All Others,0
2022,April,aha!,240
2022,April,Alaska Airlines,38727
2022,April,American Airlines,65060
2022,April,Avianca,2934
2022,April,China Airlines,788
2022,April,Delta Air Lines,63622
2022,April,Frontier Airlines,42967
2022,April,Hawaiian Airlines,10388
2022,April,JetBlue,9448
2022,April,Southwest Airlines,197690
2022,April,United Airlines,33158
2022,April,Volaris,10719
2022,April,All Others,0
2022,May,aha!,576
2022,May,Alaska Airlines,37255
2022,May,American Airlines,72424
2022,May,Avianca,3533
2022,May,China Airlines,1359
2022,May,Delta Air Lines,68214
2022,May,Frontier Airlines,59226
2022,May,Hawaiian Airlines,10376
2022,May,JetBlue,8846
2022,May,Southwest Airlines,203717
2022,May,United Airlines,41608
2022,May,Volaris,11951
2022,May,All Others,0
2022,June,aha!,880
2022,June,Alaska Airlines,38237
2022,June,American Airlines,76794
2022,June,Avianca,3377
2022,June,China Airlines,1460
2022,June,Delta Air Lines,62121
2022,June,Frontier Airlines,52328
2022,June,Hawaiian Airlines,10961
2022,June,JetBlue,10162
2022,June,Southwest Airlines,207556
2022,June,United Airlines,37652
2022,June,Volaris,12697
2022,June,All Others,0
2022,July,aha!,986
2022,July,Alaska Airlines,32258
2022,July,American Airlines,77646
2022,July,Avianca,3444
2022,July,China Airlines,1603
2022,July,Delta Air Lines,62784
2022,July,Frontier Airlines,51401
2022,July,Hawaiian Airlines,11095
2022,July,JetBlue,10337
2022,July,Southwest Airlines,217446
2022,July,United Airlines,38472
2022,July,Volaris,12670
2022,July,All Others,205
2022,August,aha!,715
2022,August,Alaska Airlines,34267
2022,August,American Airlines,78559
2022,August,Avianca,3027
2022,August,China Airlines,3160
2022,August,Delta Air Lines,65950
2022,August,Frontier Airlines,56308
2022,August,Hawaiian Airlines,10355
2022,August,JetBlue,9526
2022,August,Southwest Airlines,205220
2022,August,United Airlines,36321
2022,August,Volaris,7817
2022,August,All Others,50
2022,September,aha!,0
2022,September,Alaska Airlines,37589
2022,September,American Airlines,75262
2022,September,Avianca,4065
2022,September,China Airlines,2456
2022,September,Delta Air Lines,61447
2022,September,Frontier Airlines,63472
2022,September,Hawaiian Airlines,9938
2022,September,JetBlue,10201
2022,September,Southwest Airlines,209413
2022,September,United Airlines,34654
2022,September,Volaris,7884
2022,September,All Others,564
2022,October,aha!,0
2022,October,Alaska Airlines,44636
2022,October,American Airlines,71417
2022,October,Avianca,3559
2022,October,China Airlines,3814
2022,October,Delta Air Lines,62609
2022,October,Frontier Airlines,76220
2022,October,Hawaiian Airlines,10428
2022,October,JetBlue,10823
2022,October,Southwest Airlines,215499
2022,October,United Airlines,33230
2022,October,Volaris,8353
2022,October,All Others,1142
2022,November,aha!,0
2022,November,Alaska Airlines,39342
2022,November,American Airlines,73715
2022,November,Avianca,3442
2022,November,China Airlines,6458
2022,November,Delta Air Lines,61600
2022,November,Frontier Airlines,62100
2022,November,Hawaiian Airlines,9658
2022,November,JetBlue,10070
2022,November,Southwest Airlines,205511
2022,November,United Airlines,28992
2022,November,Volaris,10398
2022,November,All Others,759
2022,December,aha!,0
2022,December,Alaska Airlines,31345
2022,December,American Airlines,82177
2022,December,Avianca,3135
2022,December,China Airlines,8777
2022,December,Delta Air Lines,63309
2022,December,Frontier Airlines,60555
2022,December,Hawaiian Airlines,10056
2022,December,JetBlue,10859
2022,December,Southwest Airlines,167863
2022,December,United Airlines,28293
2022,December,Volaris,10933
2022,December,All Others,0
2023,January,aha!,0
2023,January,Alaska Airlines,29436
2023,January,American Airlines,65405
2023,January,Avianca,2513
2023,January,China Airlines,9747
2023,January,Delta Air Lines,55666
2023,January,Frontier Airlines,35824
